word,meaning
Transgenic,"טרנסגני, השייך למיזוג בין קטעי דנ""א של שני גנומים שונים (רפואה) "
Cataclysm,"מהפך קיצוני, קאטאקליזם; רעידת-אדמה; שואה "
Catalyst,"זרז, קטליזטור; מדרבן"
Oligopoly,"אוליגופול, אוליגופוליה, מיעוט מוכרים, מונופול חלקי על מחירי השוק"
Spittoon,מרקקה
Jurisprudence,תורת המשפט
Aubergine,"חציל, צמח שמקורו ממזרח הודו שמניב פרי אכיל; (בריטי) פרי החציל דמוי-ביצה שאוכלים אותו בתור ירק ובדרך-כלל צבעו סגול כהה "
Panopticon,"הוא מתקן אדריכלי שהגה הפילוסוף המדיני והמשפטן ג'רמי בנת'ם בשנת 1787, כחלק מהצעותיו הרבות לרפורמות חברתיות ומשפטיות. זוהי מערכת ארכיטקטונית שתפקידה לארגן ולמשטר את החברה, אותה ניתן ליישם על בתי סוהר, מפעלים, בתי-מחסה, בתי-מקלט ובתי-ספר. עיקרון הפעולה של הפנאופטיקון הוא בידוד ומעקב מתמיד"
Utilitarianism,תועלתנות
All the rage,"הצעקה האחרונה, המילה האחרונה, שיא האפנה, החידוש האחרון "
Pharyngitis,דלקת הלוע
Urophilia = Urolagnia,"אורופיליה (אנגלית: Urophilia), הידועה גם בשם ""מקלחות זהב"", היא פטיש ארוטי השם דגש על משחקי שתן"
Coprolite,ללים מאובנים של בעלי חיים (משמשים במחקר פליאונתולוגי) 
Coprophilia,"קופרופיליה, התעניינות חולנית בצואה "
Sourdough,"שאור, בצק מוחמץ"
Aerophagia,אירופגיה (בליעת אוויר בשל בעיות עיכול על רקע נפשי) 
Cinch,"חבק, חגורת האוכף; (בעגה:) דבר בטוח "
Bipartite,"חצוי, מחולק לשניים; דו צדדי"
Odious,נתעב; שנוא; דוחה 
Discreet,"זהיר, דיסקרטי"
Execrable,"נתעב, גרוע"
Intercession,"השתדלות, התערבות למען-, תיווך; תפילה למען הזולת "
Sharecropper,אריס
Flexitarian,אדם המקפיד על משטר אכילה צמחוני לרוב אך מתענג באכילת בשר לעתים רחוקות
Black cumin = kalonji,קצח
Nigella,כל אחד מהצמחים הפורחים ממשפחת הנוריתיים
to suckle,להניק
Fairground,מגרש ירידים
to scotch,"לפצוע; לחתוך; לחסל, לשים קץ ל-; לבלום"
Deadpan,חסר הבעה
Analytic,"ניתוחי, אנליטי"
Surefire,"על בטוח, מובטח "
to bloop,"(סלנג) לחבוט בכדור לגובה בקשת נמוכה כך שינחת קצת מעבר לשדה הפנימי (כדור-בסיס); להשמיע צליל קצר ובעל טון נמוך (של מכשיר חשמלי); לקלקל, להרוס, להשמיד, לפשל "
Blooper,פליטת פה בפומבי
Fecund,פורה; מניב; יוצר 
Garish,"ססגוני, צבעוני; רועש, צעקני (צבע וכו'); מקושט יתר על המידה "
Cardinality,"עוצמה, מושג במתמטיקה. נודעת לו חשיבות רבה בתורת הקבוצות, שם הוא מציין את מספר האיברים בקבוצה נתונה. אם יש בקבוצה n איברים, הרי שעוצמתה היא n. הגדרת העוצמה של קבוצה מאפשרת ביצוע פעולות שונות בה, לפי כלליה של תורת הקבוצות"
Wand,שרביט; מטה; מטה-קסם 
Grocer,"בעל חנות-מכולת, חנווני "
Presidium,נשיאות; חבר יושב ראש
Idiophone,"כל נגינה אידאפוני, כלי שהצליל בו מופק באמצעות הרעדת הכלי עצמו, ללא סיוע קרומית או מיתר"
Ideologue,אידאולוגיה
Summand,נסכם
Livery,"חולה כבד; בצבע כבד; מדוכדך, מלנכולי; רגזן/ מדים, לבוש אופייני; אורווה; טיפול בסוסים"
Cowbell,פעמון הפרה
to suborn,להסית לדבר עבירה
Sesquilinear,לינארי למחצה
Contextual,"הקשרי, של הקשר"
Pointwise,שמתרחש בכל נקודה של המערך הנתון
Piecewise,מתייחס לקבוצת משתנים; באופן שעשוי מחלקים; לגבי קבוצת חלקים
Conjugate,"מזווג, מוצמד, מחובר לצמדים; בעל שורש או מקור משותף (בדקדוק לגבי מילים)  "
Espringal,כלי מלחמה ששומש לרגימת סלעים או חצים
Monic,בעל משתנה יחיד
Homothetic transformation	,"טרנספורמציה הומותטית, התמרה של מישור אפיני לפי נקודה וקבוע"
Trou,"חור, גומחה; חריץ"
Endowment,תרומה; הקדשה; זיכרון
Bronchitis,דלקת הסימפונות
Caucus,ועידה מפלגתית
Outpouring,השפתכות (רגשית)
Détente,"הפוגה, דטנט; תקופת הפוגה זמנית במלחמה הקרה (1965-1975)"
Idyll,"אידיליה, דבר אידאלי"
Aril,"עטי, מעטה העוטף זרעים מבחוץ"
Valedictory,נאום פרידה; של פרידה
to sew,לתפור; לאחות; לחבר
Fuliginous,"מפויח, עשן (ניקוד: קמץ צירה); בגוון של פיח, כהה"
Pissant,"(בעגה) דבר או אדם חסר משמעות; בזוי, עלוב, נקלה"
to unmoor,להתיר עוגן; להשאיר עוגן אחד (בספנות)
Fisticuff,מהלומת אגרוף
Certifiable,בר אישור; לא שפוי
Minstrel,"זמר נודד, פייטן, חרזן (בימי הביניים)"
to slight,"לזלזל, להקל ראש; לפגוע, להעליב"
Herma,פסל ראש (בסגנון יווני עתיק)
Bookend,מאחוזת ספרים
Huzzah,הידד! (קריאת שמחה וכו')
Nome de plume,"שם עט, שם ספרותי, פסבדונים"
Mirage,"חזיון שווא, חזיון תעתועים, מיראז'"
Cartogram,"קרטוגרמה, מפה אשר מופתה בהתאם לפרמטר מסויים או בהשפעת משתנה כלשהו (כגון אוכלוסייה, דת וכו')"
Doodad,"קישוט, אבזר"
Anachronism,"דבר שהתיישן; טעות בזמן, אנכרוניזם"
Arabesque,"ערבסקה (עיטור ערבי, סלסול מוסיקלי)"
Motte and bailey,טירת נורמן מימי הביניים המורכבת משני תילים מחוברים מבוצרים מוקפים תעלה ומביצור ראשי גבוה מעץ הממוקם בחצר החיצונית של הטירה
Motte,תל מעשה אדם שנבנו עליו מבצר או טירה
Coif,קובע מהודק; שביס
Laxity,"רפיון, רפיפות, רישול; אי הקפדה"
Ides,"אידים, מועד המציין בערך את אמצע החודש בלוח השנה הרומאי העתיק (ה-15 לחודש בחודשים מרץ, מאי, יולי ואוקטובר וה-13 לחודש ביתר החודשים)"
Proprietor,"בעל (רכוש, סחורה); בעלים (של רכוש)"
Consequential,"בא כתוצאה; נובע, משמעותי; חשוב"
Up for grabs,"פנוי, מצוי לכל דורש, זמין לכל המעוניין להשיגו"
Adventuresome,"הרפתקני, נועז"
Pauldron,מגן לכתף
to mosey,"להסתלק, לעזוב; להתהלך, לטייל בנחת, לשוטט בנחת (סלנג) "
Isthmus,"מצר, מצר יבשה"
to sprig,לעטר בדוגמת ענפים
Coglione,"חמור, אידיוט (איטלקית)"
Hoplite,חייל רגלי בעל חימוש כבד הנושא חנית בצבאות יוון העתיקה
Quin,אחד מחמישייה
Triremes,טרירמה (אניית מלחמה קדומה)
Podiatry=Chiropody,"פודיאטריה, טיפול במחלות כף הרגל"
Aplomb,בטחון עצמי
Walrus,סוס ים
Dustbin,"מאפרה; פח אשפה, סל לזריקת אשפה (בריטי); מי שאוכל כל דבר בכל עת (סלנג בריטי)"
to muck,ללכלך; לטנף; לזבל
Stooge,מוקיון; בובה; לקקן
Simony,סחר-מכר במינויים לכהונות דתיות 
Codex (p.) Codices,"כתב-יד; כתב קודש עתיק, קודקס"
Chamois,יעל; יעלים; עור יעל
Sturgeon,"חיידקן, סוג של דג בעל סנפירים קרניים (מקור לקוויאר ודבק-דגים) "
Awl,מרצע
Ibex,"יעל, עז בר"
Slaver,"סוחר עבדים; ספינת עבדים; ריר; פטפוט, קשקושים; חנופה  "
Curvaceous,חטוב
Pensive,מהורהר
Pensively,בצורה מהורהרת
Aurochs,"ביזון, שור בר אירופאי גדול"
Edema,בצקת
Anilingus,"גירוי מיני אוראלי של פי-הטבעת על ידי ליקוק או נשיקה, אנילינגוס  "
Cunnilingus,גירוי מיני אוראלי של הנקבה
Innuendo,"רמיזה, רמז עקיף (בד""כ לגנאי)"
Applet,יישומון
Lossy,"סוג של שיטה לדחוס נתונים, דחיסה מאבדת נתונים"
Caret,"סימן השמטה (בהגהה); במחשבים: קארה, התן ^"
to probate,"לאשר צוואה, לשים במבחן"
Creditor,"נושה, מלווה"
Retentive,שומר; מחזיק; זוכר
Porringer,קערית דייסה
Cuirass,שריון חזה
Corpuscular,גופיפי
Pendulous,מתנדנד; תלוי ברפיון
Flaccid,"רך ורפוי, רפה, מדלדל (בד""כ איבר בגוף)"
Byzantine,"ביזנטי, של או הקשור לביזנטיון; של האימפריה הביזנטית; (נצרות) של או הקשור לכנסייה האורתודוכסית; מסובך, מורכב, סבוך; מאופיין על ידי שיטות מפוקפקות"
Salacious,"שטוף זימה, תאוותני; גס"
Dignitary,נכבד
Apotheosis,"שיא התפתחותי, תור זהב"
Picket,משמר שובתים; משמר; שומר; יתד 
Immurement,"כליאה; סגירה בין כתלים; מאסר, מעצר  "
Vireton,חץ
Pentateuch,חמשת חומשי תורה
Kerfuffle,"מהומה, הפרעה"
Fratricide,רצח אח; רוצח אחיו
Dimorphism,"דימורפיזם, דו צורתיות (קיום בשתי צורות שונות)"
Quaternion,"קווטרניון, רביעייה של מספרים ממשיים המכלילה את המספרים המרוכבים (מתימטיקה); קבוצה של ארבעה אנשים או דברים "
Dihedral,"דיהדרלי, דו-מישורי, בעל שני מישורים (מתמטיקה) "
Substantive,"ישותי, עצמאי/ ממשות; שם עצם (בדקדוק)"
to substantiate,"להוכיח, לאמת"
Verisimilitude,דבר הנראה כנכון 
Almoner,פקיד סעד; עובד סוציאלי שעובד בבית-חולים  
Almonry,מקום בו מחלקים צדקה; מקום בו חי אדם הנותן צדקה 
to buffer,"להפחית, להקל, למתן, לרכך; להגן, לגונן; (לגבי אספירין) להוסיף אנטאציד (חומר סותר חומציות); (כימיה) לטפל באמצעות בופר (חומר ממתן)"
Equilateral,שווה צלעות
Hypocaloric,(אדם על תפריט או כמות אוכל) הצורך פחות קלוריות ממה ששורף
Eucaloric,הצורך אותה כמות קלוריות כפי ששורף
Hypercaloric,הצורך יותר מכמות הקלוריות אשר שורף
Bull,"פר, זכר הפרה; שור; הזכר שבבקר; פיל זכר (סלנג); שטויות, הבלים (סלנג); שוטר (סלנג); איגרת האפיפיור, בולה, מכתב פומבי ששולח האפיפיור; (בצבא:) טרטור; גבר איתן; מזל שור בגלגל-המזלות; מרכז מטרה; (בורסה ) אחד שמאמין שמחירי השוק יעלו ורוכש ניירות ערך בציפייה לעליית המחירים"
Communion,"קשר, שיתוף; טקס כנסייתי"
Peremptory,תקיף; החלטי
Diet,"תזונה, ברות, דיאטה; דיאט, אסיפה (פדרלית) שמתכנסת כדי לחוקק חוקים ולקבל החלטות (כדוגמת הדיאט הקיסרי בתקופת האימפריה הרומית הקדושה)"
to recoup,לשלם בחזרה; לקבל בחזרה
Kritarchy,שלטון השופטים (כלפני בית דוד)
Theocracy,שלטון אנשי הדת
Autocracy,שלטון שליט יחיד
Technocracy,"טכנוקרטיה, שלטון בעלי המקצוע (כל משרד ניתן לאדם שמתמקצע בתחום המשרד)"
Demarchy,סוג של דמוקרטיה שבה מקבלי ההחלטות נבחרים באקראי
Kleptocracy,"שלטון הגנבים, צורת ממשל שבה מקבלי ההחלטות דואגים להעשיר את עצמם על חשבון אזרחיהם"
Geniocracy = Noocracy,שלטון החכמים
Aristocracy,שלטון האריסטוקרטים
Oligarchy,שלטון האוליגרכים
Gerontocracy,שלטון הזקנים
Kraterocracy,שלטון החזקים
Plutocracy,שלטון העשירים
Particracy,שלטון מפלגה שלטת
Stratocracy,שלטון הצבא
Timocracy,שלטון הנכבדים
Bankocracy,שלטון הבנקים
Nepotocracy,שלטון מקורבים (מהמילה נפוטיזם)
Corporatocracy,שלטון התאגידים
Sortition = Allotment = Demarchy,סורטיציה היא שיטת ממשל בה מכהנים נושאי תפקידים פוליטיים לא בעקבות מערכת בחירות אלא מתוך מדגם אקראי של האוכלוסייה
Heterodox,"כופר, אפיקורסי"
Orthodox,"שמרני; אדוק, אורתודוקסי"
Syncretism,"מיזוג יסודות, מיזוג של שני יסודות או מושגים סותרים לכאורה (בדת, פילוסופיה); שילוב של לפחות שתי צורות נטייה שונות בדקדוק (בלשנות)"
Leery,"חשדני, זהיר, רב משמעי (מבט)"
Grandee,אציל (בעיקר ספרדי)
